time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz
1756190042.8949735,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756190042.9537315,-7.0,0.0,0.0,0.0,0.0,0.0,-9.990000000000002,-1.0359999999999996,-2.311,0.057999999999999996,-0.11599999999999999,0.009
1756190043.0162442,-8.0,0.0,0.0,0.0,0.0,0.0,-9.810000000000002,-0.8160000000000007,-2.731,0.05499999999999999,-0.06799999999999995,-0.009000000000000001
1756190043.0738447,-8.0,0.0,0.0,0.0,0.0,0.0,-8.59,-1.436,-2.4909999999999997,0.026999999999999996,-0.04799999999999993,-0.011000000000000003
1756190043.1337156,-7.0,0.0,0.0,0.0,0.0,0.0,-9.93,-0.6760000000000002,-2.5709999999999997,0.033,-0.08799999999999997,0.0009999999999999974
1756190043.1838098,-7.0,0.0,0.0,0.0,0.0,0.0,-9.41,-0.49600000000000044,-2.431,0.04999999999999999,-0.06899999999999995,-0.010000000000000002
1756190043.2339525,-11.0,0.0,0.0,0.0,0.0,0.0,-10.07,-1.6359999999999992,-3.6910000000000007,0.05299999999999999,-0.07199999999999995,0.0009999999999999974
1756190043.2840207,-7.0,0.0,0.0,0.0,0.0,0.0,-9.790000000000003,-2.096,-1.7910000000000001,0.07,-0.038999999999999924,0.012999999999999998
1756190043.343806,-8.0,0.0,0.0,0.0,0.0,0.0,-9.350000000000001,-0.3360000000000003,-2.811,0.09899999999999998,-0.02300000000000002,-0.009000000000000001
1756190043.4048793,-7.0,0.0,0.0,0.0,0.0,0.0,-9.09,-1.0359999999999996,-2.391,0.08200000000000002,-0.0030000000000000027,-0.007000000000000003
1756190043.4636862,-7.0,0.0,0.0,0.0,0.0,0.0,-8.21,-0.8759999999999994,-2.051,0.10899999999999999,0.0,-0.015000000000000003
1756190043.513936,-7.0,0.0,0.0,0.0,0.0,0.0,-7.63,-0.3360000000000003,-1.8710000000000002,0.119,-0.0010000000000000009,-0.010000000000000002
1756190043.5737162,-7.0,0.0,0.0,0.0,0.0,0.0,-8.05,-1.8559999999999999,-1.651,0.09399999999999997,-0.02200000000000002,-0.012
1756190043.623764,-7.0,0.0,0.0,0.0,0.0,0.0,-7.45,-0.9960000000000004,-2.591,0.08599999999999997,0.016000000000000014,-0.022000000000000002
1756190043.683751,-7.0,0.0,0.0,0.0,0.0,0.0,-6.81,-0.516,-2.4909999999999997,0.10999999999999999,0.029000000000000026,-0.016000000000000004
1756190043.7338314,-7.0,0.0,0.0,0.0,0.0,0.0,-7.13,-0.8759999999999994,-1.4310000000000003,0.09699999999999998,0.008000000000000007,-0.017000000000000005
1756190043.7937942,-7.0,0.0,0.0,0.0,0.0,0.0,-7.510000000000001,-0.41600000000000037,-2.1310000000000002,0.09199999999999997,-0.009000000000000008,-0.006000000000000002
1756190043.844228,-7.0,0.0,0.0,0.0,0.0,0.0,-6.510000000000001,-0.19599999999999973,-2.311,0.063,0.029000000000000026,-0.016000000000000004
1756190043.9067914,-7.0,0.0,0.0,0.0,0.0,0.0,-6.45,-0.09600000000000009,-1.511,0.10299999999999998,-0.03199999999999992,-0.010000000000000002
1756190043.9637053,-7.0,0.0,0.0,0.0,0.0,0.0,-4.750000000000001,0.08399999999999963,-2.4510000000000005,0.07300000000000001,0.015000000000000013,-0.030000000000000002
1756190044.0138457,-7.0,0.0,0.0,0.0,0.0,0.0,-5.3500000000000005,-0.05599999999999916,-1.8510000000000002,0.066,-0.01200000000000001,-0.016000000000000004
1756190044.0738766,-7.0,0.0,0.0,0.0,0.0,0.0,-5.069999999999999,-1.0559999999999992,-2.2510000000000003,0.043999999999999984,-0.0030000000000000027,-0.016000000000000004
1756190044.1240354,-7.0,0.0,0.0,0.0,0.0,0.0,-4.010000000000001,0.04400000000000048,-0.19100000000000006,0.026999999999999996,0.017000000000000015,-0.010000000000000002
1756190044.183707,-9.0,0.0,0.0,0.0,0.0,0.0,-7.69,0.9239999999999995,-3.311,0.06,-0.006000000000000005,-0.0030000000000000027
1756190044.2338047,-7.0,0.0,0.0,0.0,0.0,0.0,-7.3500000000000005,-0.43599999999999994,-1.7910000000000001,0.07800000000000001,0.02200000000000002,-0.023000000000000003
1756190044.2838814,-8.0,0.0,0.0,0.0,0.0,0.0,-7.750000000000001,-0.2159999999999993,-2.931,0.08699999999999997,0.016000000000000014,-0.015000000000000003
1756190044.3339682,-7.0,0.0,0.0,0.0,0.0,0.0,-6.81,-0.9759999999999991,-1.8110000000000002,0.11399999999999999,0.010000000000000009,-0.015000000000000003
1756190044.3839972,-7.0,0.0,0.0,0.0,0.0,0.0,-8.23,-0.7959999999999994,-2.091,0.12,0.025000000000000022,-0.029
1756190044.4451838,-7.0,0.0,0.0,0.0,0.0,0.0,-7.2700000000000005,0.02400000000000091,-1.691,0.11499999999999999,0.02100000000000002,-0.011000000000000003
1756190044.5038264,-7.0,0.0,0.0,0.0,0.0,0.0,-7.2700000000000005,-0.4759999999999991,-1.651,0.08799999999999997,-0.009000000000000008,-0.005000000000000001
1756190044.5637054,-7.0,0.0,0.0,0.0,0.0,0.0,-8.309999999999999,-1.016,-1.691,0.10099999999999998,0.01100000000000001,-0.023000000000000003
1756190044.6141455,-7.0,0.0,0.0,0.0,0.0,0.0,-8.55,-0.7360000000000007,-1.8510000000000002,0.10799999999999998,0.03400000000000003,-0.017000000000000005
1756190044.6738052,-7.0,0.0,0.0,0.0,0.0,0.0,-7.31,-1.0559999999999992,-1.8510000000000002,0.09899999999999998,0.03300000000000003,-0.004
1756190044.7340403,-7.0,0.0,0.0,0.0,0.0,0.0,-7.409999999999999,-1.1159999999999997,-2.551,0.09899999999999998,0.026000000000000023,-0.021
1756190044.7937365,-7.0,0.0,0.0,0.0,0.0,0.0,-7.7700000000000005,-0.6560000000000006,-2.4110000000000005,0.08400000000000002,0.02400000000000002,-0.026
1756190044.844829,-7.0,0.0,0.0,0.0,0.0,0.0,-7.590000000000001,-0.7959999999999994,-2.011,0.08599999999999997,0.03200000000000003,-0.021
1756190044.9037209,-7.0,0.0,0.0,0.0,0.0,0.0,-7.1499999999999995,-0.8360000000000003,-1.9709999999999999,0.09099999999999997,0.013000000000000012,-0.004
