Fx,Fy,Fz,Tx,Ty,Tz
-2.3120014853508803,4.988521995714863,-0.06982744748960878,-2.753539876658733,-0.7846589352492027,1.1375169187767113
-2.323790972805336,4.959035251344828,-0.10692887612777174,-2.722619591454309,-0.7741806468467143,1.1206361578440973
-2.346432241303708,4.991279198890448,-0.10891134768631527,-2.735136811060016,-0.7835679902120339,1.1229795782297083
-2.294275459233897,4.9965078229248165,-0.10445731261977886,-2.7368589573093645,-0.7637309088002036,1.150628288877256
-2.3689991638394536,4.982385033740231,-0.037821849305166355,-2.766090063899266,-0.8166030080697821,1.1078491225989715
-2.340843464013448,5.019984461467703,-0.05783270378487726,-2.7678782153636186,-0.7990142760076717,1.1308743942189703
-2.2909591149425625,5.009012582399831,-0.07900732468351268,-2.7550530088565037,-0.7728610083200599,1.1559055490228145
-2.394404310577516,4.952860370260825,-0.019647196707122616,-2.7597150169566955,-0.8356655011578648,1.079900370201729
-2.2956500257149592,5.016354420213875,-0.07936856243186285,-2.7577443022174735,-0.7747075048947635,1.1574564231799795
-2.3725266273458305,4.951527360721709,-0.06043039172529718,-2.7415247773195177,-0.810652329732883,1.0906080235789055
-2.340123730922489,4.934421280402153,-0.11592549618104897,-2.7049256399392174,-0.7796426141744147,1.0998853396456092
-2.3436268824570368,5.000487558036397,-0.04522964973587945,-2.7680769066759665,-0.8052681341195921,1.122006779145781
-2.352386735903438,4.966995683565437,-0.11167547851220533,-2.720080301644853,-0.7830879312806159,1.1044489412591831
-2.3448047129235543,5.018854994401207,-0.06779522259042442,-2.7657494533064475,-0.7986934190805094,1.1299578264318222
-2.358363032995627,5.004544871092786,-0.06256048139771891,-2.761435969693563,-0.8062616809402372,1.117140180031483
-2.3404290244116233,5.033044157163096,-0.022610761370488563,-2.7984955833595078,-0.8188563607733621,1.1403508986119468
-2.291115429997155,5.044120353403628,-0.15934800648886388,-2.728907451648656,-0.740121551630743,1.1615647055493823
-2.342213791774246,4.992286123849437,-0.06619350123393963,-2.7576036442999827,-0.7974219224330321,1.119616273787014
-2.330416781450593,4.9666536494343845,-0.09058008332950507,-2.7338550970732,-0.7815008873873218,1.1162315795161546
-2.3579549825770605,4.975509772981288,-0.1010938620552197,-2.731321564497396,-0.7904896547834418,1.106544626710016
-2.2790194979720533,5.021770171521549,-0.12781046748694003,-2.738350048358694,-0.7523400858079119,1.165865057380074
-2.2869557987445543,4.947576436796859,-0.1710154771728129,-2.6833203932516208,-0.7363255410670114,1.1330532615138504
-2.368025255325347,5.002760779961432,-0.04934788783412786,-2.7707338019875847,-0.8134115258023149,1.1133952370761309
-2.3299388577838194,4.987412808476452,-0.02159550138813643,-2.77699451566148,-0.8126930702344819,1.1309569653370817
-2.3075341269821235,4.942253970940311,-0.11257261471769964,-2.7100171994613804,-0.7676238976552977,1.1207499423806946
-2.313511884300582,4.942742872186887,-0.09601524379612775,-2.717186520490639,-0.7758214951692027,1.1183105834497802
-2.3624359468920684,4.935405711704248,-0.09182228274019838,-2.717448979820019,-0.7970924416356127,1.0911645519835385
-2.3228525468708052,4.954316280998359,-0.07071097222459494,-2.734845363304468,-0.7875873074556992,1.1162230532172164
-2.266051490537808,5.024941568221807,-0.016287811136073693,-2.795031810363849,-0.7876136679440077,1.173565192106008
-2.3781508635096467,4.987444894481065,-0.03148287707673403,-2.76797013500641,-0.8228249444253614,1.0966907315183634
-2.3343808331940106,4.937043490255866,-0.14507421779640434,-2.68998493145301,-0.7644082809554417,1.106933320457697
-2.3009396773027206,4.95581092531007,-0.0707229106583614,-2.733791267167626,-0.7769772127402634,1.130339116135291
-2.3684533557969356,4.940773310798083,-0.06526447955130454,-2.729422642061155,-0.8049358136783719,1.0883533824186888
