time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz
1756159432.6277895,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756159432.686357,0.0,-7.0,0.0,0.0,0.0,0.0,0.6961530950165913,-1.4917067305430372,-0.5801202645463392,-0.07866166203474809,0.515582062104287,-0.020371442305989494
1756159432.7454066,0.0,-7.0,0.0,0.0,0.0,0.0,0.7201289950780068,-1.5250615711901434,-0.6578177572649972,-0.02275066719966807,0.5556871948975284,-0.019242572623921504
1756159432.795871,0.0,-7.0,0.0,0.0,0.0,0.0,0.7063498517983005,-1.446235301993098,-0.6004299764465005,-0.08593940719237926,0.5235301911183594,0.002388856297892798
1756159432.8461177,0.0,-7.0,0.0,0.0,0.0,0.0,0.7174097358061319,-1.487639842718138,-0.5886948361916493,-0.0718386942642433,0.5271295330266014,-0.00632888500435867
1756159432.9056711,0.0,-7.0,0.0,0.0,0.0,0.0,0.7067256707572698,-1.5482521452596518,-0.6014161250489705,-0.03946093793633562,0.5314791179185483,-0.033551621983834365
1756159432.9563093,0.0,-7.0,0.0,0.0,0.0,0.0,0.987792303781779,-2.130278635635772,-0.7622719243018028,0.2879480516320598,0.7136987504570952,-0.06208717844587883
1756159433.016415,0.0,-7.0,0.0,0.0,0.0,0.0,1.6562933806989646,-3.292134813225774,-0.7844383024777126,0.6895836696787788,1.1010768490711822,0.02418692106144433
1756159433.0759616,0.0,-7.0,0.0,0.0,0.0,0.0,1.874557558769076,-4.688408800214997,-1.143656371039908,1.2496553110960815,1.3920323990899428,-0.2940926810761446
1756159433.1260502,0.0,-7.0,0.0,0.0,0.0,0.0,1.6218622873170196,-6.065362766228198,-1.1334359766534308,1.714316696746367,1.3049955666588593,-0.8972773907733678
1756159433.1869116,0.0,-7.0,0.0,0.0,0.0,0.0,1.6132366658516941,-7.482993284041291,-1.1481986990496587,2.178546899166368,1.3132255715217598,-1.4394297280381343
1756159433.2460895,0.0,-7.0,0.0,0.0,0.0,0.0,1.6862317041625978,-7.818554644554141,-1.3267102139528264,2.3821964615180367,1.396103170621326,-1.5649647905116524
1756159433.2971463,0.0,-7.0,0.0,0.0,0.0,0.0,1.3195181072873032,-7.113487388305954,-1.159105803718031,1.996925079562257,1.1683267549189682,-1.5804455486632962
1756159433.356535,0.0,-7.0,0.0,0.0,0.0,0.0,1.0663930438089588,-7.151870424878209,-1.235977130673939,2.0521660679815317,1.078250608105298,-1.7399504728795137
1756159433.4162676,0.0,-7.0,0.0,0.0,0.0,0.0,1.0370052474389375,-6.748557505234324,-1.2206313367345976,1.8797358835853446,1.0441371387060043,-1.6370636166106463
1756159433.4759164,0.0,-7.0,0.0,0.0,0.0,0.0,1.1114570322633188,-6.963270282713933,-1.310334403348276,2.019538275329794,1.0916931969414896,-1.664356020976761
